Packet Log,Channle:,DatagramSocket3,TimeStamp:,01-03-2026_11-44-15
Seq,Received,Delay(ms),Status
684,1,41,OUT_OF_ORDER
685,0,0,TIMEOUT
686,0,0,TIMEOUT
683,1,209,OUT_OF_ORDER
687,1,83,OK
688,1,83,OK
685,1,83,OUT_OF_ORDER
690,1,83,OUT_OF_ORDER
692,1,83,OUT_OF_ORDER
693,1,83,OK
694,0,0,TIMEOUT
695,0,0,TIMEOUT
689,1,250,OUT_OF_ORDER
694,1,125,OUT_OF_ORDER
695,1,125,OUT_OF_ORDER
697,1,125,OUT_OF_ORDER
696,1,126,OUT_OF_ORDER
698,1,127,OK
700,1,126,OUT_OF_ORDER
703,1,1,OUT_OF_ORDER
702,1,1,OUT_OF_ORDER
705,1,127,OUT_OF_ORDER
704,1,127,OUT_OF_ORDER
706,0,0,TIMEOUT
707,0,0,TIMEOUT
708,0,0,TIMEOUT
709,0,0,TIMEOUT
710,1,90,OK
706,1,217,OUT_OF_ORDER
712,1,90,OUT_OF_ORDER
713,0,0,TIMEOUT
711,1,125,OUT_OF_ORDER
714,1,126,OK
713,1,126,OUT_OF_ORDER
717,1,0,OUT_OF_ORDER
716,1,127,OUT_OF_ORDER
718,1,1,OK
720,1,125,OUT_OF_ORDER
722,1,0,OUT_OF_ORDER
721,1,0,OUT_OF_ORDER
724,1,126,OUT_OF_ORDER
725,1,0,OK
726,1,0,OK
727,1,0,OK
723,1,254,OUT_OF_ORDER
730,1,0,OUT_OF_ORDER
728,1,126,OUT_OF_ORDER
731,1,1,OK
733,1,0,OUT_OF_ORDER
732,1,126,OUT_OF_ORDER
735,1,0,OUT_OF_ORDER
736,1,0,OK
734,1,126,OUT_OF_ORDER
738,1,0,OUT_OF_ORDER
737,1,0,OUT_OF_ORDER
740,1,0,OUT_OF_ORDER
741,1,0,OK
743,1,0,OUT_OF_ORDER
739,1,127,OUT_OF_ORDER
744,0,0,TIMEOUT
745,0,0,TIMEOUT
746,0,0,TIMEOUT
745,1,64,OUT_OF_ORDER
744,1,189,OUT_OF_ORDER
747,1,64,OK
746,1,64,OUT_OF_ORDER
748,1,190,OK
750,1,64,OUT_OF_ORDER
749,1,64,OUT_OF_ORDER
751,0,0,TIMEOUT
752,0,0,TIMEOUT
752,1,106,OUT_OF_ORDER
751,1,231,OUT_OF_ORDER
756,1,0,OUT_OF_ORDER
754,1,126,OUT_OF_ORDER
757,1,0,OK
758,1,126,OK
761,1,0,OUT_OF_ORDER
762,0,0,TIMEOUT
763,0,0,TIMEOUT
764,0,0,TIMEOUT
765,0,0,TIMEOUT
764,1,84,OUT_OF_ORDER
763,1,209,OUT_OF_ORDER
765,1,84,OUT_OF_ORDER
767,1,84,OUT_OF_ORDER
768,1,85,OK
766,1,210,OUT_OF_ORDER
769,1,85,OK
